dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,new_vaccinations
01/01/2021,1,1,2021,22210,462,Italy,IT,ITA,59641488,Europe,11266.0
02/01/2021,2,1,2021,11825,364,Italy,IT,ITA,59641488,Europe,39065.0
03/01/2021,3,1,2021,14245,347,Italy,IT,ITA,59641488,Europe,35866.0
04/01/2021,4,1,2021,10798,348,Italy,IT,ITA,59641488,Europe,69624.0
05/01/2021,5,1,2021,15375,649,Italy,IT,ITA,59641488,Europe,80249.0
06/01/2021,6,1,2021,20326,548,Italy,IT,ITA,59641488,Europe,65175.0
07/01/2021,7,1,2021,18416,414,Italy,IT,ITA,59641488,Europe,92635.0
08/01/2021,8,1,2021,17529,620,Italy,IT,ITA,59641488,Europe,96967.0
09/01/2021,9,1,2021,19976,483,Italy,IT,ITA,59641488,Europe,88254.0
10/01/2021,10,1,2021,18625,361,Italy,IT,ITA,59641488,Europe,60938.0
11/01/2021,11,1,2021,12530,448,Italy,IT,ITA,59641488,Europe,82170.0
12/01/2021,12,1,2021,14242,616,Italy,IT,ITA,59641488,Europe,83530.0
13/01/2021,13,1,2021,15773,507,Italy,IT,ITA,59641488,Europe,95435.0
14/01/2021,14,1,2021,17243,522,Italy,IT,ITA,59641488,Europe,94508.0
15/01/2021,15,1,2021,16144,477,Italy,IT,ITA,59641488,Europe,91012.0
16/01/2021,16,1,2021,16310,475,Italy,IT,ITA,59641488,Europe,66120.0
17/01/2021,17,1,2021,12544,377,Italy,IT,ITA,59641488,Europe,37629.0
18/01/2021,18,1,2021,8825,377,Italy,IT,ITA,59641488,Europe,44685.0
19/01/2021,19,1,2021,10496,603,Italy,IT,ITA,59641488,Europe,33597.0
20/01/2021,20,1,2021,13568,524,Italy,IT,ITA,59641488,Europe,31528.0
21/01/2021,21,1,2021,14055,521,Italy,IT,ITA,59641488,Europe,36569.0
22/01/2021,22,1,2021,13633,472,Italy,IT,ITA,59641488,Europe,27439.0
23/01/2021,23,1,2021,13331,488,Italy,IT,ITA,59641488,Europe,39375.0
24/01/2021,24,1,2021,11628,299,Italy,IT,ITA,59641488,Europe,34033.0
25/01/2021,25,1,2021,8559,420,Italy,IT,ITA,59641488,Europe,69652.0
26/01/2021,26,1,2021,10584,541,Italy,IT,ITA,59641488,Europe,80868.0
27/01/2021,27,1,2021,15191,467,Italy,IT,ITA,59641488,Europe,71253.0
28/01/2021,28,1,2021,14360,492,Italy,IT,ITA,59641488,Europe,94235.0
29/01/2021,29,1,2021,13563,477,Italy,IT,ITA,59641488,Europe,99155.0
30/01/2021,30,1,2021,12713,421,Italy,IT,ITA,59641488,Europe,90791.0
31/01/2021,31,1,2021,11249,237,Italy,IT,ITA,59641488,Europe,60007.0
01/02/2021,1,2,2021,7925,329,Italy,IT,ITA,59641488,Europe,86252.0
02/02/2021,2,2,2021,9651,498,Italy,IT,ITA,59641488,Europe,88627.0
03/02/2021,3,2,2021,13182,476,Italy,IT,ITA,59641488,Europe,100292.0
04/02/2021,4,2,2021,13656,422,Italy,IT,ITA,59641488,Europe,108975.0
05/02/2021,5,2,2021,14213,377,Italy,IT,ITA,59641488,Europe,108222.0
06/02/2021,6,2,2021,13439,385,Italy,IT,ITA,59641488,Europe,78381.0
07/02/2021,7,2,2021,11640,270,Italy,IT,ITA,59641488,Europe,42418.0
08/02/2021,8,2,2021,7969,307,Italy,IT,ITA,59641488,Europe,67249.0
