CFN;Descripcion_Producto;QtyDisponible;forecasttotal;demand;QtyBloqued;QtyQI;QtyRestricted;UOM;Sloc;forecast
837;SOLUTION 000837 CARTRIDGE BICARB 760G;0;;;10;0;0;EA;1202;
837;SOLUTION 000837 CARTRIDGE BICARB 760G;2;;;0;0;0;EA;4016;
837;SOLUTION 000837 CARTRIDGE BICARB 760G;5618;;;0;0;0;EA;4000;
837;SOLUTION 000837 CARTRIDGE BICARB 760G;920;;;0;0;0;EA;4000;
005001INT;DBM 005001INT PRGX DBM 1CC SRVC FEE;0;;;1;0;0;EA;1201;
005001INT;DBM 005001INT PRGX DBM 1CC SRVC FEE;0;;;1;0;0;EA;1201;
005001INT;DBM 005001INT PRGX DBM 1CC SRVC FEE;0;;;1;0;0;EA;1201;
005110INT;DBM 005110INT PRGX DBM 10 CC SRVC FEE;0;;;1;0;0;EA;1201;
005110INT;DBM 005110INT PRGX DBM 10 CC SRVC FEE;0;;;1;0;0;EA;1201;
6324;006324 INF/NEO FILTERLINE H SET;350;;;0;0;0;EA;4000;
6324;006324 INF/NEO FILTERLINE H SET;2;;;0;0;0;EA;4017;
6324;006324 INF/NEO FILTERLINE H SET;125;;;0;0;0;EA;4000;
6324;006324 INF/NEO FILTERLINE H SET;525;;;0;0;0;EA;4000;
6324;006324 INF/NEO FILTERLINE H SET;1400;;;0;0;0;EA;4000;
6912;006912 ADT O2/CO2 NASAL FILTERLINE X25;9;;;0;0;0;EA;40A0;
6912;006912 ADT O2/CO2 NASAL FILTERLINE X25;200;;;0;0;0;EA;4000;
6913;006913 PAED O2/CO2 NASAL FILTERLINE;8;;;0;0;0;EA;4017;
6913;006913 PAED O2/CO2 NASAL FILTERLINE;225;;;0;0;0;EA;4000;
7042;WIRE ANG 007042 10PK 9266S.035 145 3MMJ;0;;;1;0;0;EA;1201;
7042;WIRE ANG 007042 10PK 9266S.035 145 3MMJ;9;;;0;0;0;EA;4020;
7044;WIRE ANG 007044 10PK 9267S.038 145 3MMJ;10;;;0;0;0;EA;4001;
7044;WIRE ANG 007044 10PK 9267S.038 145 3MMJ;10;;;0;0;0;EA;4001;
7044;WIRE ANG 007044 10PK 9267S.038 145 3MMJ;10;;;0;0;0;EA;4001;
7044;WIRE ANG 007044 10PK 9267S.038 145 3MMJ;10;;;0;0;0;EA;4001;
