CFN,Demand,Forecast,Lag 2 % Consumed,Lag 1 % Consumed,Lag 0 % Consumed,Backorder $ (USD),Weeks of Coverage
86450,3.522,5.909,60%,60%,60%,$110,5,2
86452,2.226,5.782,39%,39%,39%,$205,5,3
86451,1.940,7.139,27%,27%,27%,$171,6,4
287/7631,1.490,1.093,136%,136%,136%,,105,6
86448,1.370,2.104,65%,65%,65%,,3,9
287/7632,1.290,1.131,114%,114%,114%,$2.914,64,6
86552,1.196,2.016,59%,59%,59%,$5.220,11,4
86445,853,580,147%,147%,147%,$33,1,5
86447,750,839,89%,89%,89%,,3,4
86443,680,230,296%,296%,296%,$513,4,3
86444,660,505,131%,131%,131%,$865,13,1
351/5856,550,2.741,20%,20%,20%,,156,0
86449,550,7.050,8%,8%,8%,$68,1,7
7CN80A,547,1.106,49%,49%,49%,,10,4
350-005-000,500,652,77%,77%,77%,$620,12,1
86453,410,2.480,17%,17%,17%,$1.791,0,4
86446,369,5.050,7%,7%,7%,,1,1
126035,353,58,612%,612%,612%,,648,9
350-013-000,350,563,85%,62%,62%,,2.395,9
5CN70A,326,941,35%,35%,35%,$2.810,10,1
86241,310,87,358%,358%,358%,$1.033,15,9
86236,270,185,146%,146%,146%,,2,9
85865,260,527,49%,49%,49%,,6,1
86551,195,619,31%,31%,31%,$297,54,3
3.5PED,178,179,99%,99%,99%,,379,8
444SP02514,170,166,103%,103%,103%,,191,6
86237,120,163,74%,74%,74%,$303,2,1
86550,120,799,15%,15%,15%,$297,44,5
86235,110,1.600,7%,7%,7%,$907,3,1
86442,110,358,31%,31%,31%,$49,1,5
86553,100,200,50%,50%,50%,,43,1
4-074601-00,98,248,36%,40%,40%,,4.193,2
4-076887-00,96,1.681,5%,6%,6%,,18,2
5UN70A,95,1.087,9%,9%,9%,$369,104,4
287/7634,90,72,124%,124%,124%,,188,9
444SP03014,90,149,60%,60%,60%,,52,1
8CN85R,86,422,20%,20%,20%,$69,31,1
287/7635,80,131,61%,61%,61%,,135,9
86232,80,217,37%,37%,37%,$415,0,7
86234,80,1.900,4%,4%,4%,$626,5,3
18880,70,226,31%,31%,31%,,5,6
18885,70,173,40%,40%,40%,,52,4
76275,70,84,84%,84%,84%,,7,4
86548-,65,27,238%,238%,238%,$198,693,3
3.0PED,64,57,101%,112%,112%,$429,761,1
18875,60,326,18%,18%,18%,,3,9
444SP03314,60,70,85%,85%,85%,,169,4
86454,60,1.809,3%,3%,3%,,10,6
4.5PED,58,81,70%,72%,72%,$386,354,9
125037,55,62,89%,89%,89%,,2.922,2
18870,50,117,43%,43%,43%,,23,0
18890,50,47,106%,106%,106%,,21,3
76270,50,155,32%,32%,32%,,21,1
76280,50,68,73%,73%,73%,,7,2
86233,50,248,20%,20%,20%,$131,2,4
5.5PED,42,81,52%,52%,52%,$1.077,450,0
86239,40,101,39%,39%,39%,$365,10,2
18860,30,21,145%,145%,145%,,13,3
287/7633,30,363,8%,8%,8%,$143,347,0
444SP02016,30,114,26%,26%,26%,,1.326,1
76265,30,25,122%,122%,122%,,6,3
85864,30,74,41%,41%,41%,,19,8
86199,30,28,108%,108%,108%,,10,7
86209,30,26,116%,116%,116%,$32,8,9
86222,30,0,DMD NO FCST,DMD NO FCST,DMD NO FCST,$19,
5.0PEF,29,225,13%,13%,13%,,13,9
352/5877,25,0,DMD NO FCST,DMD NO FCST,DMD NO FCST,,
444SP02014,24,198,12%,12%,12%,,1.511,6
113-35,20,10,206%,206%,206%,,1.721,0
113-40,20,30,200%,67%,67%,$30,535,7
113-45,20,10,200%,200%,200%,,2.943,5
113-50,20,0,800%,DMD NO FCST,DMD NO FCST,,
113-55,20,0,DMD NO FCST,DMD NO FCST,DMD NO FCST,,
